Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | newX=  312.2293 | newY=  360.7802
particle=  1 | newX=  316.5120 | newY=  360.6007
particle=  2 | newX=  320.7951 | newY=  360.4406
particle=  3 | newX=  325.0794 | newY=  360.2998
particle=  4 | newX=  329.3657 | newY=  360.1783
particle=  5 | newX=  333.6550 | newY=  360.0758
particle=  6 | newX=  337.9479 | newY=  359.9922
particle=  7 | newX=  342.2453 | newY=  359.9270
particle=  8 | newX=  346.5480 | newY=  359.8800
particle=  9 | newX=  350.8566 | newY=  359.8509
STEP  38 | DAY  585
particle=  0 | newX=  313.1186 | newY=  351.0256
particle=  1 | newX=  317.3582 | newY=  350.8460
particle=  2 | newX=  321.5985 | newY=  350.6875
particle=  3 | newX=  325.8403 | newY=  350.5501
particle=  4 | newX=  330.0846 | newY=  350.4336
particle=  5 | newX=  334.3323 | newY=  350.3378
particle=  6 | newX=  338.5843 | newY=  350.2625
particle=  7 | newX=  342.8414 | newY=  350.2072
particle=  8 | newX=  347.1044 | newY=  350.1716
particle=  9 | newX=  351.3743 | newY=  350.1553
STEP  39 | DAY  600
particle=  0 | newX=  313.9953 | newY=  341.1691
particle=  1 | newX=  318.1887 | newY=  340.9903
particle=  2 | newX=  322.3831 | newY=  340.8346
particle=  3 | newX=  326.5794 | newY=  340.7019
particle=  4 | newX=  330.7786 | newY=  340.5919
particle=  5 | newX=  334.9819 | newY=  340.5044
particle=  6 | newX=  339.1901 | newY=  340.4391
particle=  7 | newX=  343.4042 | newY=  340.3957
particle=  8 | newX=  347.6251 | newY=  340.3736
particle=  9 | newX=  351.8538 | newY=  340.3724
STEP  40 | DAY  615
particle=  0 | newX=  314.8560 | newY=  331.2010
particle=  1 | newX=  318.9997 | newY=  331.0242
particle=  2 | newX=  323.1447 | newY=  330.8725
particle=  3 | newX=  327.2921 | newY=  330.7460
particle=  4 | newX=  331.4431 | newY=  330.6442
particle=  5 | newX=  335.5987 | newY=  330.5670
particle=  6 | newX=  339.7600 | newY=  330.5139
particle=  7 | newX=  343.9282 | newY=  330.4846
particle=  8 | newX=  348.1043 | newY=  330.4784
particle=  9 | newX=  352.2891 | newY=  330.4949
STEP  41 | DAY  630
particle=  0 | newX=  315.6971 | newY=  321.1102
particle=  1 | newX=  319.7871 | newY=  320.9366
particle=  2 | newX=  323.8788 | newY=  320.7905
particle=  3 | newX=  327.9735 | newY=  320.6719
particle=  4 | newX=  332.0725 | newY=  320.5805
particle=  5 | newX=  336.1769 | newY=  320.5157
particle=  6 | newX=  340.2880 | newY=  320.4773
particle=  7 | newX=  344.4071 | newY=  320.4647
particle=  8 | newX=  348.5351 | newY=  320.4773
particle=  9 | newX=  352.6733 | newY=  320.5145
STEP  42 | DAY  645
particle=  0 | newX=  316.5138 | newY=  310.8835
particle=  1 | newX=  320.5456 | newY=  310.7146
particle=  2 | newX=  324.5797 | newY=  310.5761
particle=  3 | newX=  328.6174 | newY=  310.4676
particle=  4 | newX=  332.6603 | newY=  310.3888
particle=  5 | newX=  336.7096 | newY=  310.3392
particle=  6 | newX=  340.7668 | newY=  310.3184
particle=  7 | newX=  344.8330 | newY=  310.3257
particle=  8 | newX=  348.9097 | newY=  310.3604
particle=  9 | newX=  352.9980 | newY=  310.4219
STEP  43 | DAY  660
particle=  0 | newX=  317.3006 | newY=  300.5056
particle=  1 | newX=  321.2692 | newY=  300.3434
particle=  2 | newX=  325.2406 | newY=  300.2146
particle=  3 | newX=  329.2166 | newY=  300.1187
particle=  4 | newX=  333.1988 | newY=  300.0555
particle=  5 | newX=  337.1886 | newY=  300.0242
particle=  6 | newX=  341.1875 | newY=  300.0245
particle=  7 | newX=  345.1971 | newY=  300.0554
particle=  8 | newX=  349.2187 | newY=  300.1162
particle=  9 | newX=  353.2537 | newY=  300.2060
STEP  44 | DAY  675
particle=  0 | newX=  318.0507 | newY=  289.9582
particle=  1 | newX=  321.9502 | newY=  289.8050
particle=  2 | newX=  325.8534 | newY=  289.6885
particle=  3 | newX=  329.7622 | newY=  289.6085
particle=  4 | newX=  333.6784 | newY=  289.5642
particle=  5 | newX=  337.6037 | newY=  289.5552
